time,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,quat0,quat1,quat2,quat3,acc0,acc1,acc2,gyro0,gyro2,gyro2
272094,26,67,54,19,23,15,21,20,-8627,-12060,5080,-4774,1552,1135,-597,-64,-109,-64
272117,27,77,56,20,23,16,20,19,-8629,-12059,5092,-4759,1566,1132,-576,-76,-93,-38
272139,26,78,67,21,22,16,21,19,-8632,-12055,5106,-4747,1558,1130,-569,-80,-80,-15
272154,29,101,77,24,22,16,20,20,-8637,-12049,5118,-4741,1559,1155,-553,-74,-51,0
272177,28,90,64,24,20,17,21,21,-8643,-12044,5125,-4734,1559,1182,-578,-72,-29,-8
272199,28,90,72,23,20,17,22,23,-8650,-12040,5129,-4728,1553,1195,-576,-66,-18,-22
272214,27,86,72,22,20,16,23,23,-8656,-12038,5132,-4720,1535,1195,-571,-54,-20,-23
272237,31,100,70,24,20,18,21,22,-8658,-12039,5136,-4709,1507,1200,-576,-36,-47,-18
272259,29,88,64,20,21,17,22,20,-8659,-12040,5143,-4697,1507,1203,-569,-41,-64,-6
272281,29,88,66,21,21,17,21,21,-8661,-12039,5155,-4685,1505,1200,-562,-51,-80,15
272297,31,89,71,20,22,17,20,19,-8661,-12036,5170,-4675,1527,1193,-538,-47,-91,26
272319,34,88,74,22,21,18,19,21,-8660,-12033,5184,-4668,1525,1190,-518,-23,-88,37
272342,37,75,67,20,23,17,21,22,-8658,-12031,5195,-4664,1542,1221,-534,-11,-70,44
272357,37,76,63,20,23,23,20,22,-8658,-12028,5204,-4662,1558,1245,-526,-10,-49,41
272379,39,82,61,20,21,24,19,20,-8657,-12028,5207,-4662,1559,1244,-530,21,-33,19
272401,37,84,48,22,20,24,19,22,-8657,-12028,5207,-4662,1536,1233,-549,7,-14,-3
272417,33,80,48,20,20,23,19,20,-8658,-12028,5206,-4661,1521,1238,-568,-16,-6,-13
272439,25,77,46,21,21,24,17,20,-8662,-12027,5205,-4657,1505,1220,-569,-25,0,-12
