time,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,quat0,quat1,quat2,quat3,acc0,acc1,acc2,gyro0,gyro2,gyro2
135,120,188,39,30,32,35,28,40,6646,-2314,-13098,-6882,1716,1151,-644,57,-246,52
157,164,210,47,30,47,34,33,43,6628,-2313,-13116,-6867,1650,1117,-662,90,-142,-63
180,183,254,45,29,47,32,30,49,6614,-2292,-13131,-6857,1559,1071,-672,101,-52,-146
195,187,276,42,28,48,31,30,51,6610,-2267,-13138,-6857,1528,1046,-672,52,32,-155
217,185,320,42,27,46,32,31,57,6611,-2247,-13141,-6856,1535,1040,-668,33,52,-126
240,157,303,39,28,44,32,31,54,6613,-2236,-13145,-6850,1560,1048,-690,37,26,-77
255,108,291,31,26,35,27,28,62,6612,-2233,-13148,-6845,1563,1083,-693,16,6,-33
277,67,254,41,24,35,25,32,57,6609,-2237,-13152,-6840,1546,1080,-686,5,-27,-7
300,51,229,42,23,34,26,31,56,6604,-2242,-13156,-6835,1546,1086,-685,3,-37,-2
315,52,112,42,22,36,26,35,50,6601,-2235,-13160,-6833,1623,1104,-742,1,7,-76
337,49,97,40,22,47,26,35,50,6601,-2196,-13162,-6843,1720,1102,-758,9,103,-270
360,44,88,39,22,41,26,33,64,6607,-2117,-13161,-6863,1649,1079,-699,63,226,-452
375,43,86,27,19,42,32,31,86,6624,-2019,-13159,-6881,1423,1030,-654,122,344,-466
397,35,85,26,21,46,31,35,88,6649,-1932,-13152,-6894,1346,1052,-636,122,369,-351
420,39,94,29,19,43,31,32,95,6675,-1871,-13143,-6902,1376,1126,-596,100,294,-201
442,43,74,31,17,34,29,33,94,6699,-1837,-13139,-6898,1481,1196,-583,120,178,-66
457,49,82,33,18,33,35,39,77,6716,-1821,-13141,-6880,1578,1275,-624,150,87,31
480,50,76,33,23,31,29,38,49,6729,-1812,-13146,-6862,1591,1316,-661,133,55,62
502,52,72,36,23,24,28,35,45,6734,-1806,-13148,-6854,1560,1338,-656,81,30,54
517,74,63,35,28,33,29,36,36,6736,-1798,-13148,-6853,1553,1325,-648,42,28,27
540,89,58,49,32,38,32,41,37,6739,-1787,-13146,-6858,1554,1317,-615,30,32,-8
562,96,45,51,33,38,27,34,37,6742,-1770,-13146,-6860,1569,1277,-623,51,44,-50
577,93,45,51,30,38,29,36,42,6746,-1747,-13148,-6857,1575,1221,-636,79,57,-86
600,92,42,49,30,44,30,35,42,6754,-1720,-13152,-6849,1573,1192,-660,104,90,-105
622,74,46,48,26,48,31,33,34,6765,-1688,-13156,-6838,1559,1178,-691,114,127,-112
637,54,46,33,24,45,29,22,46,6779,-1657,-13158,-6828,1537,1180,-696,108,147,-94
660,30,44,29,24,47,32,28,53,6789,-1634,-13160,-6820,1522,1209,-702,82,120,-54
682,31,49,32,26,50,36,27,52,6793,-1622,-13162,-6815,1509,1229,-691,42,65,-11
697,31,49,30,29,48,38,32,53,6789,-1623,-13164,-6815,1501,1240,-690,-13,0,18
720,29,40,33,29,39,36,33,54,6780,-1632,-13163,-6823,1517,1251,-676,-67,-38,28
742,24,38,33,34,39,39,33,53,6770,-1641,-13160,-6836,1537,1228,-668,-96,-37,-3
